"","kallisto","salmon","stringtie"
"CHESS_clean",0.2994477888397,0.290315094492683,0.300151662885651
"CHESS_noisy",0.323137997274974,0.313087466138561,0.323668036147204
"REAL_clean",0.264508841790509,0.25898116672022,0.272451989012643
"REAL_noisy",0.347608183679678,0.331549225328077,0.320840343302616
